,SiteCode,Specie,X,N,AB,DA,DoA,sindr,ssindr,major_disp,fdiam,flen,seeddiam,seedlen,wooden,Tre.size.max,blacklisted,blackwood,forest_size,effort_ha,dominio,lat_munici,altitude,PP,Temp,Lat,Longitud,ESTADIO,forest.type,ALT_RAST,TEMP_RAST,PP_RASTER,FOREST_RASTER,biomassproxi,Carbonproxi
4238,SPeec1,Sp28,4391,2,0.247663315,0.1953125,0.024185871,abiotic,autochoric,,20,300,5,7.2,0.838,15,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.160296869,0.046165498
4239,SPeec1,Sp29,4392,15,0.343134556,1.46484375,0.033509234,zoochoric,mixed,,12.62,230,0.62,2,0.41,16,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.117148523,0.033738774
4240,SPeec1,Sp30,4393,58,1.947057886,5.6640625,0.190142372,abiotic,anemochoric,,38,78,12.5,36.2,0.500775,35,yes,yes,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,1.623873227,0.467675489
4241,SPeec1,Sp31,4394,41,4.052696396,4.00390625,0.395771132,abiotic,anemochoric,NA,80,185,7,9,0.3918,30,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,2.241917876,0.645672348
4242,SPeec1,Sp32,4395,1,0.013117232,0.09765625,0.00128098,abiotic,anemochoric,,56,157,12.1,26.4,0.75,25,yes,yes_wood,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.013768775,0.003965407
4243,SPeec1,Sp33,4396,412,14.14935071,40.234375,1.38177253,abiotic,anemochoric,,70,191,9.6,18.9,0.75,22,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,10.42712621,3.003012349
4244,SPeec1,Sp34,4397,1,0.002299789,0.09765625,0.000224589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,NA,NA
4245,SPeec1,Sp35,4398,230,6.977485669,22.4609375,0.681395085,zoochoric,mixed,,24.67,25.67,9.92,15.7,0.685,25,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,5.455805197,1.571271897
4246,SPeec1,Sp36,4399,17,0.100009704,1.66015625,0.009766573,zoochoric,birds,,15,23.52,11.26,14.4,0.47,18,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.045476157,0.013097133
4247,SPeec1,Sp37,4400,11,0.444730955,1.07421875,0.043430757,abiotic,autochoric,,8,8,3,3.3,0.762666667,20,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.340442692,0.098047495
4248,SPeec1,Sp38,4401,30,5.212919387,2.9296875,0.509074159,abiotic,anemochoric,,NA,NA,2.1,5,0.774966667,25,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,4.637027009,1.335463779
4249,SPeec1,Sp39,4402,81,1.378995451,7.91015625,0.134667525,zoochoric,mammals,,7.5,9,8,10.6,1.03,12,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.829810408,0.238985397
4250,SPeec1,Sp40,4403,14,0.50921449,1.3671875,0.049727978,zoochoric,mammals,,18,20,11,18,0.823,10,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.213685264,0.061541356
4251,SPeec1,Sp41,4404,3,0.055649799,0.29296875,0.005434551,abiotic,anemochoric,,6,12,2.6,13,0.675,30,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.060000971,0.01728028
4252,SPeec1,Sp42,4405,2,0.048552523,0.1953125,0.004741457,abiotic,anemochoric,,20.48,34.98,5,6.8,0.6,5,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.008296243,0.002389318
4253,SPeec1,Sp43,4406,451,14.26924088,44.04296875,1.393480554,abiotic,autochoric,,10,8,3.3,5.4,0.575,10,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,3.792954586,1.092370921
4254,SPeec1,Sp44,4407,2,0.004656396,0.1953125,0.000454726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,NA,NA
4255,SPeec1,Sp45,4408,43,0.548029675,4.19921875,0.053518523,zoochoric,birds,,20,21,7.4,11,0.655,25,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.446234322,0.128515485
4256,SPeec1,Sp46,4409,48,1.696633869,4.6875,0.165686901,abiotic,anemochoric,,8,32,4.3,10,0.792,30,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,1.907714149,0.549421675
4257,SPeec1,Sp47,4410,1,0.005630584,0.09765625,0.000549862,zoochoric,mammals,,20,21,8.7,18.7,0.83,9,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.002495735,0.000718772
4258,SPeec1,Sp48,4411,12,0.081897632,1.171875,0.007997816,zoochoric,mixed,,18,20,12.5,18.7,0.631,20,yes,yes,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.055187144,0.015893897
4259,SPeec1,Sp49,4412,16,1.038576642,1.5625,0.1014235,zoochoric,mammals,,40,210,6,13,0.419916667,20,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.434126515,0.125028436
